City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Shelburne,CA,2021-09-30 05:00:26,44.0787,-80.2041,48.6,83,0,5.48
223,Mazamari,PE,2021-09-30 05:05:00,-11.3258,-74.5308,68.41,93,45,1.61
224,Aranos,NA,2021-09-30 05:05:01,-24.1333,19.1167,62.04,17,5,6.04
225,Mirnyy,RU,2021-09-30 05:05:01,62.5353,113.9611,39.07,53,15,4.5
226,Stornoway,GB,2021-09-30 05:05:02,58.2093,-6.3865,48.92,93,75,20.71
227,Wamba,NG,2021-09-30 05:05:02,8.9333,8.6,68.76,97,90,0.98
228,Charters Towers,AU,2021-09-30 05:05:03,-20.1,146.2667,87.67,36,7,16.24
229,Lompoc,US,2021-09-30 05:05:04,34.6391,-120.4579,61.93,89,1,4.61
230,Saint-Philippe,RE,2021-09-30 05:05:04,-21.3585,55.7679,77.22,72,40,12.17
231,Selimpasa,TR,2021-09-30 05:05:05,41.0558,28.379,65.95,60,42,18.23
232,Marystown,CA,2021-09-30 05:05:05,47.1666,-55.1483,60.85,100,100,8.3
233,Clyde,US,2021-09-30 05:05:06,41.3042,-82.9752,57.54,91,0,3.62
234,Ostrovnoy,RU,2021-09-30 05:05:06,68.0531,39.5131,42.6,92,46,6.35
235,Mus,TR,2021-09-30 05:05:06,39.0,41.75,51.84,37,100,4.21
236,Asifabad,IN,2021-09-30 05:05:07,19.3667,79.2833,85.32,71,12,2.37
237,Mar Del Plata,AR,2021-09-30 05:05:08,-38.0023,-57.5575,57.09,45,28,3.0
238,Urdoma,RU,2021-09-30 05:05:08,61.7533,48.5442,46.87,82,98,8.03
239,Caravelas,BR,2021-09-30 05:05:09,-17.7125,-39.2481,72.81,87,0,9.53
240,Wenzhou,CN,2021-09-30 05:05:09,27.9994,120.6668,88.23,59,52,2.86
241,Xining,CN,2021-09-30 05:01:50,36.6167,101.7667,67.62,29,70,4.25
242,Clovis,US,2021-09-30 05:02:52,36.8252,-119.7029,68.68,51,5,4.47
243,Taltal,CL,2021-09-30 05:05:10,-25.4,-70.4833,56.71,84,44,2.46
244,Bamiantong,CN,2021-09-30 05:05:10,44.9333,130.5333,61.83,35,5,5.86
245,Thompson,CA,2021-09-30 05:00:24,55.7435,-97.8558,57.06,90,89,7.31
246,Sfantu Gheorghe,RO,2021-09-30 05:03:39,45.8667,25.7833,47.93,81,24,4.09
247,Yerbogachen,RU,2021-09-30 05:05:11,61.2767,108.0108,40.46,53,12,5.19
248,Ketchikan,US,2021-09-30 05:02:44,55.3422,-131.6461,45.84,94,100,7.4
249,Sitka,US,2021-09-30 05:05:12,57.0531,-135.33,48.09,87,90,0.0
250,San Policarpo,PH,2021-09-30 05:05:12,12.1791,125.5072,84.92,75,78,1.88
251,Mount Gambier,AU,2021-09-30 05:05:13,-37.8333,140.7667,55.31,94,90,17.27
252,Sungaipenuh,ID,2021-09-30 05:05:13,-2.0833,101.3833,68.58,90,100,3.83
253,Paso De Los Toros,UY,2021-09-30 05:05:14,-32.8167,-56.5167,54.66,95,87,16.51
254,Norman Wells,CA,2021-09-30 05:05:14,65.282,-126.8329,22.28,93,21,4.23
255,Madera,US,2021-09-30 05:04:29,37.1666,-119.8343,67.08,38,5,5.91
256,Mayo,US,2021-09-30 05:05:15,38.8876,-76.5119,58.95,84,20,1.01
257,Araguaina,BR,2021-09-30 05:05:15,-7.1911,-48.2072,77.7,65,34,4.07
258,Olafsvik,IS,2021-09-30 05:05:16,64.8945,-23.7142,42.44,84,100,12.37
259,Velsk,RU,2021-09-30 05:05:16,61.0701,42.0983,43.84,92,82,5.28
260,Olinda,BR,2021-09-30 05:05:17,-8.0089,-34.8553,74.93,100,90,9.22
261,Komsomolskiy,UZ,2021-09-30 05:05:17,40.4272,71.7189,72.75,35,0,6.91
262,Tiksi,RU,2021-09-30 05:05:18,71.6872,128.8694,34.66,71,100,2.98
263,Comodoro Rivadavia,AR,2021-09-30 05:05:18,-45.8667,-67.5,49.86,43,0,13.8
264,Ellisras,ZA,2021-09-30 05:05:19,-23.6649,27.7443,66.06,68,72,18.75
265,Codajas,BR,2021-09-30 05:05:19,-3.8367,-62.0569,72.75,95,95,2.39
266,Kavieng,PG,2021-09-30 05:05:21,-2.5744,150.7967,82.96,77,100,12.35
267,San Rafael,AR,2021-09-30 05:05:21,-34.6177,-68.3301,61.77,32,4,16.93
268,Birao,CF,2021-09-30 05:02:15,10.2849,22.7882,73.2,85,65,2.93
269,Neyshabur,IR,2021-09-30 05:05:22,36.2133,58.7958,69.42,29,0,3.2
270,Sayyan,YE,2021-09-30 05:05:23,15.1718,44.3244,66.81,32,79,4.36
271,Alamosa,US,2021-09-30 05:05:23,37.4695,-105.87,47.71,71,1,5.75
272,Bumba,CD,2021-09-30 05:05:25,2.1833,22.4667,70.16,88,100,0.45
273,Chifeng,CN,2021-09-30 05:05:25,42.2683,118.9636,66.13,33,62,1.3
274,Santa Lucia,ES,2021-09-30 05:05:26,27.9117,-15.5407,65.52,76,75,26.46
275,Sterling,US,2021-09-30 05:02:41,39.0062,-77.4286,57.74,92,1,4.61
276,Bathsheba,BB,2021-09-30 05:01:08,13.2167,-59.5167,82.2,71,100,8.28
277,Narsaq,GL,2021-09-30 05:05:27,60.9167,-46.05,28.62,41,17,3.96
278,Bilma,NE,2021-09-30 05:05:27,18.6853,12.9164,80.73,10,15,13.29
279,Tambun,ID,2021-09-30 05:05:28,-6.2641,107.0712,96.49,52,40,5.75
280,Morant Bay,JM,2021-09-30 05:05:28,17.8815,-76.4093,75.61,81,1,4.81
281,Leningradskiy,RU,2021-09-30 05:05:29,69.3833,178.4167,28.99,98,100,6.98
282,Santa Catarina De Tepehuanes,MX,2021-09-30 05:05:29,25.35,-105.7333,56.88,80,0,5.77
283,Khipro,PK,2021-09-30 05:05:30,25.8285,69.3772,88.16,58,82,15.64
284,Soyo,AO,2021-09-30 05:04:16,-6.1349,12.3689,75.76,83,100,7.67
285,Les Cayes,HT,2021-09-30 05:05:30,18.2,-73.75,77.72,84,19,4.61
286,Alofi,NU,2021-09-30 05:05:31,-19.0595,-169.9187,77.4,78,80,18.5
287,Plonsk,PL,2021-09-30 05:05:31,52.6235,20.3755,52.11,82,100,6.87
288,Saint George,US,2021-09-30 05:05:32,37.1041,-113.5841,66.79,21,1,1.99
289,Los Llanos De Aridane,ES,2021-09-30 05:05:32,28.6585,-17.9182,69.55,71,75,21.85
290,Burnie,AU,2021-09-30 05:05:33,-41.0667,145.9167,59.32,67,100,20.18
291,Tuatapere,NZ,2021-09-30 05:05:33,-46.1333,167.6833,50.83,75,89,11.23
292,Osa,RU,2021-09-30 05:05:34,57.2829,55.4567,40.3,79,98,4.81
293,Sola,VU,2021-09-30 05:05:34,-13.8833,167.55,79.39,81,66,20.49
294,Natal,BR,2021-09-30 05:05:35,-5.795,-35.2094,74.05,100,75,2.3
