City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Ahipara,NZ,-35.1667,173.1667,60.26,90,100,1.57,light rain
284,Clarksville,US,36.5298,-87.3595,72.09,85,20,5.75,few clouds
285,Kavieng,PG,-2.5744,150.7967,82.29,71,100,3.53,overcast clouds
286,Hami,CN,42.8,93.45,53.89,35,100,11.34,overcast clouds
287,Hervey Bay,AU,-25.2986,152.8535,82.04,55,99,7.54,overcast clouds
288,Fort Nelson,CA,58.8053,-122.7002,35.19,93,75,2.3,broken clouds
289,Lavrentiya,RU,65.5833,-171.0,36.95,99,100,7.63,overcast clouds
290,Cherskiy,RU,68.75,161.3,15.24,94,80,7.2,broken clouds
291,Teluknaga,ID,-6.0989,106.6381,86.61,78,20,4.61,few clouds
292,Barra Do Garcas,BR,-15.89,-52.2567,88.38,51,0,5.75,clear sky
293,Noshiro,JP,40.2039,140.0242,56.34,54,50,2.89,scattered clouds
294,Wexford,IE,52.3342,-6.4575,59.67,96,78,14.67,broken clouds
295,Alyangula,AU,-13.8483,136.4192,87.67,62,9,5.75,clear sky
296,Saint-Augustin,CA,51.226,-58.6502,47.7,54,9,13.51,clear sky
297,Sitka,US,57.0531,-135.33,48.09,71,1,6.91,light rain
298,Kahului,US,20.8947,-156.47,86.02,63,40,19.57,scattered clouds
299,Pedernales,DO,18.0384,-71.744,82.47,70,52,8.23,broken clouds
300,Vizinga,RU,61.0749,50.1031,36.07,94,35,6.8,scattered clouds
301,Asau,RO,46.4333,26.4,45.75,94,36,1.66,scattered clouds
302,Soyo,AO,-6.1349,12.3689,75.87,83,100,6.08,overcast clouds
303,Puerto Madryn,AR,-42.7692,-65.0385,50.52,53,0,21.41,clear sky
304,Baykit,RU,61.67,96.37,34.54,96,100,7.94,light rain
305,Menongue,AO,-14.6585,17.691,60.17,81,88,3.11,overcast clouds
306,Paamiut,GL,61.994,-49.6678,37.56,60,100,8.59,overcast clouds
307,Ialibu,PG,-6.2821,143.9935,66.83,68,94,3.78,overcast clouds
308,Tyristrand,NO,60.0837,10.0966,50.22,96,96,2.84,overcast clouds
309,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,90,90,6.91,overcast clouds
310,Chumikan,RU,54.7183,135.315,40.89,56,7,19.35,clear sky
311,Pompeu,BR,-19.2244,-44.9353,74.77,65,93,2.53,overcast clouds
312,Verkhoyansk,RU,67.5447,133.385,31.98,50,100,13.24,overcast clouds
313,Say,NE,13.1007,2.3689,88.36,50,100,8.7,overcast clouds
314,Berlevag,NO,70.8578,29.0864,42.84,74,100,15.64,overcast clouds
315,Santa Cruz,BO,-17.8,-63.1667,81.86,54,78,5.75,broken clouds
316,Wanning,CN,18.8003,110.3967,80.55,90,100,22.55,light rain
317,Innisfail,AU,-17.5333,146.0333,90.88,58,17,7.92,few clouds
318,Miles City,US,46.4083,-105.8406,81.57,19,20,11.5,few clouds
319,Miramar,US,25.9873,-80.2323,84.22,82,1,8.05,clear sky
320,Gazojak,TM,41.1875,61.4036,40.62,31,59,16.17,broken clouds
321,Port Blair,IN,11.6667,92.75,80.38,84,96,10.67,overcast clouds
