City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
223,Mersing,MY,75.11,scattered clouds,2.4312,103.8405,Timotel Hotel
224,Pontianak,ID,80.58,few clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
225,Ketchikan,US,52.27,few clouds,55.3422,-131.6461,Snow's Cove Lodge
227,Padrauna,IN,77.43,clear sky,26.9025,83.9819,Hotel Sky Lark
228,Eyl,SO,78.1,overcast clouds,7.9803,49.8164,Amiin Hotel
229,Shache,CN,54.14,clear sky,38.4167,77.2406,Delong Hotel
230,Roebourne,AU,83.25,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
231,Aberdeen,GB,52.29,light rain,57.1437,-2.0981,Premier Inn Aberdeen City Centre hotel
232,Moroto,UG,71.6,overcast clouds,2.5345,34.6666,"Kara-Tunga, Karamoja Safari Camp"
234,Yamada,JP,62.76,overcast clouds,39.4667,141.95,Iroha-ya Inn
235,Vila Velha,BR,73.35,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
236,Bud,US,70.18,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
237,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
238,Itarema,BR,79.36,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
239,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
240,Flinders,AU,83.05,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
241,Ponta Delgada,PT,75.51,scattered clouds,37.7333,-25.6667,Vila Nova Hotel
242,Inhambane,MZ,70.97,overcast clouds,-23.865,35.3833,Oceano
243,Virginia Beach,US,73.45,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
247,Bereda,ES,56.41,few clouds,43.2686,-7.5406,Pazo de Verdes
248,Tual,ID,81.81,few clouds,-5.6667,132.75,Grand Vilia Hotel
249,Harper,LR,77.99,broken clouds,4.375,-7.7169,Screensaver
250,Alta Floresta,BR,71.83,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
253,Stephenville,US,78.89,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
254,Thompson,CA,50.16,broken clouds,55.7435,-97.8558,Burntwood Hotel
256,Rawson,AR,50.04,clear sky,-43.3002,-65.1023,Hosteria Sampedro
257,Marsh Harbour,BS,83.71,few clouds,26.5412,-77.0636,Abaco Beach Resort
258,San Patricio,US,82.81,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
260,Broome,US,64.6,clear sky,42.2506,-75.833,Chenango Valley State Park
261,Wanlaweyn,SO,74.75,broken clouds,2.6185,44.8938,GAASHAAN HOME
263,Torbay,CA,54.37,clear sky,47.6666,-52.7314,Gallows Cove
264,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
267,Yulara,AU,66.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
268,Constitucion,CL,52.95,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
269,Acarau,BR,79.47,overcast clouds,-2.8856,-40.12,castelo pizzaria
270,Camopi,GF,74.39,overcast clouds,3.1655,-52.3158,La pousada
271,Georgetown,MY,82.33,scattered clouds,5.4112,100.3354,Cititel Penang
273,Conde,BR,76.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
274,Marsa Matruh,EG,71.8,scattered clouds,31.3525,27.2453,Beau Site
275,Kaitangata,NZ,65.32,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
276,Chatrapur,IN,79.38,overcast clouds,19.35,84.9833,Circuit House
277,Bambous Virieux,MU,70.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
278,Brasileia,BR,79.3,overcast clouds,-11.0161,-68.7481,Pousada Tobias
